date,par
2014-12-10T05:50:15+0000,0
2014-12-10T05:53:15+0000,0
2014-12-10T05:56:15+0000,0
2014-12-10T05:59:15+0000,0
2014-12-10T06:02:16+0000,0
2014-12-10T06:05:16+0000,0
2014-12-10T06:08:16+0000,0
2014-12-10T06:11:16+0000,0
2014-12-10T06:14:17+0000,0
2014-12-10T06:17:17+0000,0
2014-12-10T06:20:17+0000,0
2014-12-10T06:23:17+0000,0
2014-12-10T06:26:17+0000,0
2014-12-10T06:29:18+0000,0
2014-12-10T06:32:18+0000,0
2014-12-10T06:35:18+0000,0
2014-12-10T06:38:18+0000,0
2014-12-10T06:41:19+0000,0
2014-12-10T06:44:19+0000,0
2014-12-10T06:47:19+0000,0
2014-12-10T06:50:19+0000,0
2014-12-10T06:53:19+0000,0
2014-12-10T06:56:20+0000,0
2014-12-10T06:59:20+0000,0
2014-12-10T07:02:20+0000,0
2014-12-10T07:05:20+0000,0
2014-12-10T07:08:21+0000,0
2014-12-10T07:11:21+0000,0
2014-12-10T07:14:21+0000,0
2014-12-10T07:17:21+0000,0
2014-12-10T07:20:21+0000,0
2014-12-10T07:23:22+0000,0
2014-12-10T07:26:22+0000,0
2014-12-10T07:29:22+0000,0
2014-12-10T07:32:22+0000,0
2014-12-10T07:35:23+0000,0
2014-12-10T07:38:23+0000,0
2014-12-10T07:41:23+0000,0
2014-12-10T07:44:23+0000,0
2014-12-10T07:47:23+0000,0
2014-12-10T07:50:24+0000,0
2014-12-10T07:53:24+0000,0
2014-12-10T07:56:24+0000,0
2014-12-10T07:59:24+0000,0
2014-12-10T08:02:25+0000,0
2014-12-10T08:05:25+0000,0
2014-12-10T08:08:25+0000,0
2014-12-10T08:11:25+0000,0
2014-12-10T08:14:25+0000,0
2014-12-10T08:17:26+0000,0
2014-12-10T08:20:26+0000,0
2014-12-10T08:23:26+0000,0
2014-12-10T08:26:26+0000,0
2014-12-10T08:29:26+0000,0
2014-12-10T08:32:27+0000,0
2014-12-10T08:35:27+0000,0
2014-12-10T08:38:27+0000,0
2014-12-10T08:41:27+0000,0
2014-12-10T08:44:28+0000,0
2014-12-10T08:47:28+0000,0
2014-12-10T08:50:28+0000,0
2014-12-10T08:53:28+0000,0
2014-12-10T08:56:29+0000,0
2014-12-10T08:59:29+0000,0
2014-12-10T09:02:29+0000,0
2014-12-10T09:05:29+0000,0
2014-12-10T09:08:29+0000,0
2014-12-10T09:11:30+0000,0
2014-12-10T09:14:30+0000,0
2014-12-10T09:17:30+0000,0
2014-12-10T09:20:30+0000,0
2014-12-10T09:23:31+0000,0
2014-12-10T09:26:31+0000,0
2014-12-10T09:29:31+0000,0
2014-12-10T09:32:31+0000,0
2014-12-10T09:35:31+0000,0
2014-12-10T09:38:32+0000,0
2014-12-10T09:41:32+0000,0
2014-12-10T09:44:32+0000,0
2014-12-10T09:47:32+0000,0
2014-12-10T09:50:33+0000,0
2014-12-10T09:53:33+0000,0
2014-12-10T09:56:33+0000,0
2014-12-10T09:59:33+0000,0
2014-12-10T10:02:34+0000,0
2014-12-10T10:05:34+0000,0
2014-12-10T10:08:34+0000,0
2014-12-10T10:11:34+0000,0
2014-12-10T10:14:34+0000,0
2014-12-10T10:17:35+0000,0
2014-12-10T10:20:35+0000,0
2014-12-10T10:23:35+0000,0
2014-12-10T10:26:35+0000,0
2014-12-10T10:29:35+0000,0
2014-12-10T10:32:36+0000,0
2014-12-10T10:35:36+0000,0
